,restaurant,food_score,service_score,ambiance_score,authentic_score,overall_score
0,328 Katong Laksa,0.35486078,0.18814625,0.19772658,0.35273,0.27336589
1,88 Pocha Singapore,0.47964698,0.20680548,0.2336186,0.4547342,0.34370133
2,A Roy Thai,0.4506397,0.19713111,0.2027522,0.41021955,0.31518564
3,Acqua e Farina,0.42143223,0.26816934,0.19317198,0.41795015,0.32518092
4,Ah Loy Thai,0.40184915,0.21258926,0.20530562,0.36947215,0.29730406
5,Al Borgo,0.39661703,0.28311166,0.2154034,0.4050844,0.3250541
6,Alati Divine Greek Cuisine,0.452945,0.28476277,0.2631231,0.45282692,0.36341447
7,Anjappar Authentic Chettinaad Restaurant,0.44092056,0.25763562,0.24604987,0.44982675,0.3486082
8,Aromas,0.43799585,0.29752666,0.26559743,0.45920345,0.36508086
9,Arunachala Bhavan,0.4395205,0.27787742,0.25298008,0.46359238,0.3584926
10,Authentic Manchurian Cuisine,0.37427092,0.22133644,0.2118823,0.35832742,0.29145426
11,BAKALAKI Greek Taverna,0.43536672,0.3127064,0.27476895,0.45558348,0.36960638
12,Baci Baci,0.40300187,0.289579,0.25007674,0.41352054,0.33904454
13,Beer Thai,0.44829422,0.16923125,0.1924963,0.42199317,0.30800372
14,Beng Hiang Restaurant,0.34045026,0.20254776,0.23575693,0.38401,0.29069126
15,Binomio,0.42036515,0.28765732,0.23879582,0.4208719,0.34192255
16,Blu Kouzina Siglap,0.43225652,0.3245761,0.27327216,0.44744486,0.36938742
17,Blue Jasmine,0.38855526,0.27919522,0.26559693,0.39841932,0.33294168
18,Brasserie Gavroche,0.389742,0.2955886,0.23258312,0.42498508,0.3357247
19,Byblos,0.4407872,0.31703466,0.28987467,0.456839,0.3761339
20,Cappadocia Turkish Mediterranean Restaurant,0.3770542,0.334304,0.31863934,0.39803845,0.35700902
21,Capri Trattoria Pizzeria,0.40208197,0.26748767,0.20683302,0.40923724,0.32140997
22,Caruso Italian Restaurant,0.42132455,0.2670847,0.20631264,0.4384417,0.3332909
23,Chao San Cuisine,0.39851785,0.1890655,0.22845018,0.42353794,0.30989286
24,Chin Chin Eating House,0.41404647,0.19262502,0.19009621,0.39671418,0.29837048
25,Chinatown Complex,0.35067466,0.18654016,0.21440367,0.3955268,0.28678635
26,Chui Huay Lim Teochew Cuisine,0.4133215,0.27323496,0.26936838,0.43954524,0.34886754
27,Ciao,0.4092436,0.2374467,0.1996765,0.41494116,0.31532702
28,Co Chung Authentic Taste of Vietnam,0.39339575,0.23616193,0.24030738,0.41800472,0.32196745
29,Copper Chimney,0.39123228,0.29518703,0.25715977,0.44291028,0.34662235
30,Coucou,0.42448437,0.28326952,0.24249321,0.4212264,0.3428684
31,Curry Magic,0.44105765,0.2860173,0.30658886,0.46980926,0.3758683
32,D O P Mozzarella Bar Restaurant,0.41589722,0.25827748,0.19910629,0.41084954,0.3210326
33,Dario,0.40256724,0.2161541,0.14398761,0.37367046,0.28409484
34,Diandin Leluk,0.41578785,0.18168312,0.19779995,0.40127227,0.2991358
35,Eat 3 Bowls,0.4131131,0.15002887,0.1816648,0.40531775,0.28753114
36,Entre Nous creperie,0.35058036,0.27903727,0.28154945,0.3731896,0.32108918
37,Etna Italian Restaurant Duxton,0.42884412,0.27522662,0.21680121,0.4364433,0.33932883
38,Etna Italian Restaurant Upper East Coast,0.42319888,0.27396104,0.21589519,0.43826678,0.33783045
39,FOC Restaurant,0.41186175,0.2852133,0.2362873,0.4152289,0.33714783
40,Forketta,0.3986161,0.26817942,0.20741679,0.3887134,0.3157314
41,Gandhi Restaurant,0.40731335,0.20839202,0.21285112,0.4180467,0.31165078
42,Gio Gourmet Italian Osteria,0.4166749,0.2792317,0.2071208,0.42965662,0.33317098
43,Grand Shanghai,0.3602089,0.36406693,0.28449488,0.40125662,0.35250685
44,Greenleaf Cafe,0.48261803,0.24681537,0.26664075,0.49196354,0.37200943
45,Guan Hoe Soon Peranakan Restaurant,0.42995277,0.20147984,0.2385438,0.4389445,0.32723022
46,IO Italian Osteria Singapore,0.41264257,0.25461337,0.20904835,0.42652485,0.32570726
47,In Piazza Italian Restaurant,0.38914296,0.24216232,0.18516275,0.3945664,0.3027586
48,IndoChili Halal Indonesian Restaurant,0.4160623,0.29268593,0.26173297,0.42932552,0.34995165
49,Jaggi s Northern Indian Cuisine,0.4310952,0.21856268,0.23427977,0.440304,0.33106044
50,Jai Thai Restaurant East Coast,0.412082,0.19472185,0.20307486,0.40251958,0.30309957
51,Jim Thompson,0.42738578,0.26381105,0.24601038,0.4366377,0.34346122
52,Kaayaloram Authentic Kerala Cuisine,0.36634925,0.26674086,0.2163442,0.38813,0.30939108
53,Kailash Parbat,0.41636556,0.25290322,0.2585012,0.42491442,0.3381711
54,Kapitan sg,0.456382,0.21142188,0.25596824,0.4535376,0.34432745
55,Kazbar,0.40974453,0.3064252,0.29127663,0.42199782,0.35736105
56,Khansama Tandoori Restaurant,0.38811824,0.25278312,0.23928426,0.40125456,0.32036006
57,Kim Dae Mun Korean Cuisine,0.41895607,0.2025163,0.25009972,0.42056093,0.32303327
58,Kolkata Beckons,0.4817726,0.26021862,0.25217262,0.46504515,0.36480224
59,Komala Villas Restaurant,0.4295548,0.225174,0.24644482,0.4322319,0.33335137
60,Korat Thai Cafe,0.41780928,0.1742971,0.21628271,0.40656042,0.30373737
61,Kucina Italian Restaurant,0.45147666,0.21708766,0.18615651,0.42395008,0.31966773
62,LUCE By Davide Giacomelli,0.37404945,0.376933,0.24855734,0.41830784,0.3544619
63,Le Bistrot du Sommelier,0.38056165,0.2557377,0.21761408,0.39719993,0.31277832
64,Le Rida,0.43360454,0.2779064,0.24082561,0.4272176,0.34488854
65,Limoncello Pizza and Grill,0.35873556,0.29436544,0.23765896,0.3728149,0.3158937
66,Little Vietnam,0.40601373,0.23345497,0.23178197,0.41661263,0.3219658
67,Long Phung Vietnamese Restaurant,0.38455546,0.22470462,0.23490945,0.39117262,0.30883554
68,Lucca s Trattoria,0.41635543,0.29234335,0.21626069,0.42418805,0.33728686
69,MING CHUNG,0.37533188,0.23258902,0.24389759,0.3949366,0.31168875
70,Machan s Kitchen,0.45926142,0.2403072,0.24946213,0.4823476,0.3578446
71,Malaysian Food Street,0.3957192,0.22521874,0.22786565,0.40306586,0.31296736
72,Marmaris Restaurant,0.48204288,0.29626337,0.27178976,0.47064558,0.3801854
73,Mavi Turkish Restaurant Grill,0.43277296,0.2576836,0.25983918,0.44127616,0.34789297
74,Mehfil Mughlai,0.47359198,0.23930705,0.26839548,0.46827483,0.36239234
75,Moc Quan,0.4136381,0.23773153,0.24185556,0.41003174,0.32581425
76,Mrs Pho Bussorah,0.3925331,0.23249063,0.25817707,0.40594658,0.32228687
77,Mrs Pho House Rangoon,0.40930262,0.21097447,0.2633409,0.42720562,0.32770592
78,Murugan Idli Shop,0.357953,0.2451744,0.25765854,0.37044868,0.30780867
79,Nakhon Kitchen,0.3883318,0.21610858,0.19451241,0.39387557,0.2982071
80,Newton Food Centre,0.3556189,0.2030501,0.22110038,0.3857657,0.29138377
81,Newton Hawker Centre,0.33372834,0.20643555,0.21041216,0.36960363,0.2800449
82,No Menu,0.41188577,0.26760218,0.2092394,0.43627188,0.3312498
83,Nogawa Japanese Restaurant,0.39456907,0.22025374,0.22095689,0.3990924,0.30871803
84,Old Cheng Du,0.43404534,0.21074791,0.24057607,0.43447942,0.3299622
85,Omar Shariff Authentic Indian Cuisine,0.43775114,0.24609947,0.2489246,0.43137014,0.34103632
86,Oriental Chinese Restaurant,0.4144886,0.21987696,0.22504885,0.42368296,0.32077435
87,Papi s Tacos,0.41121408,0.23638369,0.23777339,0.44302362,0.3320987
88,Pasta Brava Italian Restaurant,0.4033284,0.2587316,0.20777409,0.4068583,0.3191731
89,Paulaner Brauhaus Singapore,0.3258315,0.33401507,0.2758881,0.36377406,0.3248772
90,Penang Culture NEX,0.39178148,0.34103802,0.26428482,0.41854727,0.3539129
91,Penang Place,0.4226772,0.22881043,0.21515265,0.40342894,0.3175173
92,PeraMakan,0.41527724,0.24474645,0.24861853,0.43252373,0.3352915
